Pixel,Resultado
1257,Positivo
1258,Positivo
1259,Positivo
1260,Positivo
1261,Positivo
1262,Positivo
1263,Positivo
1264,Positivo
1265,Positivo
1266,Positivo
1267,Positivo
1268,Positivo
1269,Positivo
1270,Positivo
1271,Positivo
1272,Positivo
1273,Positivo
1274,Positivo
1275,Positivo
1276,Positivo
1277,Positivo
1278,Positivo
1279,Positivo
1280,Positivo
1281,Positivo
1282,Positivo
1283,Positivo
1284,Positivo
1285,Positivo
1286,Positivo
1287,Positivo
1288,Positivo
1289,Positivo
1290,Positivo
1291,Positivo
1292,Positivo
1293,Positivo
1294,Positivo
1295,Positivo
1296,Positivo
1297,Positivo
1298,Positivo
1299,Positivo
1300,Positivo
1301,Positivo
1302,Positivo
1303,Positivo
1304,Positivo
1305,Positivo
1306,Positivo
1307,Positivo
1308,Positivo
1309,Positivo
1310,Positivo
1311,Positivo
1312,Positivo
1313,Positivo
1314,Positivo
1315,Positivo
1316,Positivo
1317,Positivo
1318,Positivo
1319,Positivo
1320,Positivo
1321,Positivo
1322,Positivo
1323,Positivo
1324,Positivo
1325,Positivo
1326,Positivo
1327,Positivo
1328,Positivo
1329,Positivo
1330,Positivo
1331,Positivo
1332,Positivo
1333,Positivo
1334,Positivo
1335,Positivo
1336,Positivo
1337,Positivo
1338,Positivo
1339,Positivo
1340,Positivo
1341,Positivo
1342,Positivo
1343,Positivo
1344,Positivo
1345,Positivo
1346,Positivo
1347,Positivo
1348,Positivo
1349,Positivo
1350,Positivo
1351,Positivo
1352,Positivo
1353,Positivo
1354,Positivo
1355,Positivo
1356,Positivo
1357,Positivo
1358,Positivo
1359,Positivo
1360,Positivo
1361,Positivo
1362,Positivo
1363,Positivo
1364,Positivo
1365,Positivo
1366,Positivo
1367,Positivo
1368,Positivo
1369,Positivo
1370,Positivo
1371,Positivo
1372,Positivo
1373,Positivo
1374,Positivo
1375,Positivo
1376,Positivo
1377,Positivo
1378,Positivo
1379,Positivo
1380,Positivo
1381,Positivo
1382,Positivo
1383,Positivo
1384,Positivo
1385,Positivo
1386,Positivo
1387,Positivo
1388,Positivo
1389,Positivo
1390,Positivo
1391,Positivo
1392,Positivo
1393,Positivo
1394,Positivo
1395,Positivo
1396,Positivo
1397,Positivo
1398,Positivo
1399,Positivo
1400,Positivo
1401,Positivo
1402,Positivo
1403,Positivo
1404,Positivo
1405,Positivo
1406,Positivo
1407,Positivo
1408,Positivo
1409,Positivo
1410,Positivo
1411,Positivo
1412,Positivo
1413,Positivo
1414,Positivo
1415,Positivo
1416,Positivo
1417,Positivo
1418,Positivo
1419,Positivo
1420,Positivo
1421,Positivo
1422,Positivo
1423,Positivo
1424,Positivo
1425,Positivo
1426,Positivo
1427,Positivo
1428,Positivo
1429,Positivo
1430,Positivo
1431,Positivo
1432,Positivo
1433,Positivo
1434,Positivo
1435,Positivo
1436,Positivo
1437,Positivo
1438,Positivo
1439,Positivo
1440,Positivo
1441,Positivo
1442,Positivo
1443,Positivo
1444,Positivo
1445,Positivo
1446,Positivo
1447,Positivo
1448,Positivo
1449,Positivo
1450,Positivo
1451,Positivo
1452,Positivo
1453,Positivo
1454,Positivo
1455,Positivo
1456,Positivo
1457,Positivo
1458,Positivo
1459,Positivo
1460,Positivo
1461,Positivo
1462,Positivo
1463,Positivo
1464,Positivo
1465,Positivo
1466,Positivo
1467,Positivo
1468,Positivo
1469,Positivo
1470,Positivo
1471,Positivo
1472,Positivo
1473,Positivo
1474,Positivo
1475,Positivo
1476,Positivo
1477,Positivo
1478,Positivo
1479,Positivo
1480,Positivo
1481,Positivo
1482,Positivo
1483,Positivo
1484,Positivo
1485,Positivo
1486,Positivo
1487,Positivo
1488,Positivo
1489,Positivo
1490,Positivo
1491,Positivo
1492,Positivo
1493,Positivo
1494,Positivo
1495,Positivo
1496,Positivo
1497,Positivo
1498,Positivo
1499,Positivo
1500,Positivo
1501,Positivo
1502,Positivo
1503,Positivo
1504,Positivo
1505,Positivo
1506,Positivo
1507,Positivo
1508,Positivo
1509,Positivo
1510,Positivo
1511,Positivo
1512,Positivo
1513,Positivo
1514,Positivo
1515,Positivo
1516,Positivo
1517,Positivo
1518,Positivo
1519,Positivo
1520,Positivo
1521,Positivo
1522,Positivo
1523,Positivo
1524,Positivo
1525,Positivo
1526,Positivo
1527,Positivo
1528,Positivo
1529,Positivo
1530,Positivo
1531,Positivo
1532,Positivo
1533,Positivo
1534,Positivo
1535,Positivo
1536,Positivo
1537,Positivo
1538,Positivo
1539,Positivo
1540,Positivo
1541,Positivo
1542,Positivo
1543,Positivo
1544,Positivo
1545,Positivo
1546,Positivo
1547,Positivo
1548,Positivo
1549,Positivo
1550,Positivo
1551,Positivo
1552,Positivo
1553,Positivo
1554,Positivo
1555,Positivo
1556,Positivo
1557,Positivo
1558,Positivo
1559,Positivo
1560,Positivo
1561,Positivo
1562,Positivo
1563,Positivo
1564,Positivo
1565,Positivo
1566,Positivo
1567,Positivo
1568,Positivo
1569,Positivo
1570,Positivo
1571,Positivo
1572,Positivo
1573,Positivo
1574,Positivo
1575,Positivo
1576,Positivo
1577,Positivo
1578,Positivo
1579,Positivo
1580,Positivo
1581,Positivo
1582,Positivo
1583,Positivo
1584,Positivo
1585,Positivo
1586,Positivo
1587,Positivo
1588,Positivo
1589,Positivo
1590,Positivo
1591,Positivo
1592,Positivo
1593,Positivo
1594,Positivo
1595,Positivo
1596,Positivo
1597,Positivo
1598,Positivo
1599,Positivo
1600,Positivo
1601,Positivo
1602,Positivo
1603,Positivo
1604,Positivo
1605,Positivo
1606,Positivo
1607,Positivo
1608,Positivo
1609,Positivo
1610,Positivo
1611,Positivo
1612,Positivo
1613,Positivo
1614,Positivo
